Season;Rank;Player;Team;GP;GS;Min;PTS;2PM;2PA;2P%;3PM;3PA;3P%;FTM;FTA;FT%;OR;DR;TR;AST;STL;TO;BLK;BLKA;FC;FD;PIR
2018-19;11;A. MOERMAN;EFS;37;36;29:04:00;12.0;3.3;5.6;59.2%;1.5;3.7;40.1%;0.9;1.1;87.2%;1.3;4.8;6.1;1.5;1.1;1.1;0.3;0.2;1.9;2.1;15.2
2018-19;12;K. SLOUKAS;FNB;33;12;26:38:00;11.8;2.4;4.2;58%;1.5;3.2;44.9%;2.6;2.8;93.4%;0.2;2.0;2.2;4.8;0.5;1.9;0.0;0.2;1.5;3.3;15.2
2018-19;13;G. AYON;RMB;31;6;19:39;8.3;3.6;5.5;66.9%;0.0;0.0;0%;1.0;1.9;54.2%;1.4;4.6;6.0;2.9;0.8;1.3;0.8;0.3;2.3;2.2;14.5
2018-19;14;C. HIGGINS;CSK;32;11;25:25:00;14.9;3.3;6.7;49.3%;1.6;3.2;49%;3.5;3.9;89.7%;0.6;1.6;2.2;1.8;0.4;1.3;0.2;0.4;2.5;4.6;14.4
2018-19;15;D. WILLIAMS;BAY;29;2;26:02:00;13.4;3.1;5.8;54.2%;1.2;3.7;33.3%;3.4;4.3;78.4%;1.2;2.9;4.2;0.6;0.6;1.5;0.5;0.2;1.4;4.1;14.2
2018-19;16;S. LARKIN;EFS;35;12;21:58;12.5;2.1;3.7;55.4%;1.9;4.2;44.9%;2.8;3.2;86.6%;0.3;1.9;2.2;3.1;0.9;1.8;0.1;0.3;1.6;3.3;14.0
2018-19;17;V. MICIC;EFS;37;30;28:12:00;12.4;2.7;4.7;58%;1.8;4.8;37.1%;1.6;1.9;81.9%;0.2;1.9;2.2;5.5;1.0;2.8;0.1;0.3;2.7;3.9;13.9
2018-19;18;A. RANDOLPH;RMB;33;33;22:37;12.5;2.5;4.5;55.3%;1.8;4.4;41.4%;2.1;2.7;75.6%;0.7;3.6;4.3;0.9;0.5;0.8;0.3;0.2;1.2;2.7;13.8
2018-19;19;J. EVANS;DTI;27;25;25:58:00;9.7;3.1;4.8;65.1%;0.8;2.1;37.9%;1.1;1.6;69%;2.0;3.9;5.9;0.8;0.7;0.9;1.2;0.2;1.8;1.9;13.8
2018-19;20;T. BLACK;MTA;26;24;21:30;11.0;4.5;6.4;69.9%;0.0;0.0;0%;2.1;3.0;68.4%;2.2;3.3;5.4;0.7;0.5;1.4;0.8;0.1;2.9;2.8;13.8
2018-19;21;V. MICOV;AXM;30;30;31:18:00;13.9;3.1;6.2;50.3%;1.9;4.7;39.4%;2.1;2.7;79%;0.5;2.7;3.2;2.5;1.1;1.4;0.1;0.2;2.3;3.1;13.7
2018-19;22;B. DUNSTON;EFS;36;32;26:05:00;8.9;3.3;5.1;65%;0.1;0.2;33.3%;2.1;3.0;70.1%;1.5;3.4;4.9;1.3;0.8;0.8;1.2;0.2;3.0;3.2;13.5
2018-19;23;W. TAVARES;RMB;34;28;19:22;7.4;3.1;3.9;79.4%;0.0;0.0;0%;1.3;2.0;63.2%;2.2;4.1;6.2;0.7;0.4;1.2;1.7;0.2;2.3;2.0;13.4
2018-19;24;A. TOMIC;FCB;35;33;20:16;10.1;4.2;6.8;61.6%;0.0;0.0;0%;1.7;2.8;61.2%;2.0;3.0;5.0;1.7;0.5;1.6;0.3;0.2;2.3;3.4;13.2
2018-19;25;T. DOUGLAS;DTI;20;20;27:33:00;14.5;3.3;7.0;47.5%;1.8;5.6;33%;2.4;2.6;88.7%;1.0;2.4;3.3;4.0;1.6;2.3;0.2;0.8;2.8;2.9;13.0
2018-19;26;T. SHENGELIA;KBA;20;15;24:29:00;11.4;3.6;6.8;52.6%;0.6;1.4;39.3%;2.7;5.1;52.9%;1.0;3.3;4.2;1.6;1.2;1.7;0.4;0.6;2.6;5.4;13.0
2018-19;27;F. CAMPAZZO;RMB;34;14;23:36;8.7;1.4;3.4;39.7%;1.3;3.4;37.4%;2.2;2.5;89.3%;0.3;2.4;2.6;5.2;1.6;2.1;0.0;0.3;2.5;4.2;13.0
